team,elo
Incarnate Word Cardinals,1469.8809003202878
SE Louisiana Lions,1469.633504328237
Marquette Golden Eagles,1469.5405086177316
Boston College Eagles,1468.6342842088466
Syracuse Orange,1468.4998990732881
Eastern Illinois Panthers,1467.2490826966814
Colorado Buffaloes,1466.723497880941
North Florida Ospreys,1465.7154605299695
South Dakota State Jackrabbits,1464.9380735644643
Notre Dame Fighting Irish,1463.5298792996548
UC Davis Aggies,1463.2570427533021
Cal State Bakersfield Roadrunners,1462.7289262497097
Pittsburgh Panthers,1462.7264122764232
Northern Arizona Lumberjacks,1462.5776980414753
Georgia Tech Yellow Jackets,1462.2721287530048
Milwaukee Panthers,1462.2402353440912
Rider Broncs,1461.9152696549645
Gardner-Webb Runnin' Bulldogs,1461.8376212101332
Florida State Seminoles,1461.5708645244038
IU Indianapolis Jaguars,1461.449374106737
Mississippi Valley State Delta Devils,1461.4315538254468
Texas A&M Aggies,1461.2216217724108
Stonehill Skyhawks,1461.151945412611
Northeastern Huskies,1461.1273121449315
Mississippi State Bulldogs,1460.5439951958017
Western Illinois Leathernecks,1460.5097785001758
Bryant Bulldogs,1460.3044388391231
Northwestern Wildcats,1459.828816675971
Jackson State Tigers,1459.1456578605967
UC Riverside Highlanders,1458.314563253451
Memphis Tigers,1457.4721893013655
Long Beach State Beach,1456.0660482225394
Rutgers Scarlet Knights,1455.8599630964484
LSU Tigers,1455.41036203654
Utah Utes,1455.2252146214887
Wake Forest Demon Deacons,1454.070411684973
Niagara Purple Eagles,1453.7397855187398
Kansas State Wildcats,1453.468963075261
Sacramento State Hornets,1451.4872133431152
Penn State Nittany Lions,1450.5272789227126
Baylor Bears,1448.1250059447502
Maryland Terrapins,1441.5507979994147
Oregon Ducks,1439.7271365764866
